item_i_index,item_j_index,item_i,item_j,distance,d_ij,c_j
9,5,Brownie Mix,Granola,105,10.5,5.49
9,6,Brownie Mix,Hershey's,60,6.0,2.69
9,7,Brownie Mix,Flour,40,4.0,4.99
9,8,Brownie Mix,Syrup,30,3.0,2.49
9,9,Brownie Mix,Brownie Mix,0,0.0,2.29
9,10,Brownie Mix,Seasoning,15,1.5,3.99
9,11,Brownie Mix,Soup,60,6.0,1.99
9,12,Brownie Mix,Mac & Cheese,80,8.0,2.69
9,13,Brownie Mix,Ketchup,110,11.0,3.49
9,14,Brownie Mix,Pickles,115,11.5,2.99
9,15,Brownie Mix,Italian Dressing,120,12.0,3.99
9,16,Brownie Mix,Soy Sauce,120,12.0,2.49
9,17,Brownie Mix,Penne,125,12.5,3.49
9,18,Brownie Mix,CapriSun,130,13.0,2.49
9,19,Brownie Mix,Tortillas,90,9.0,1.99
9,20,Brownie Mix,Tomato Sauce,60,6.0,2.99
9,21,Brownie Mix,Ibuprofen,75,7.5,5.49
9,22,Brownie Mix,Diapers,90,9.0,25.99
9,23,Brownie Mix,Tootpaste,130,13.0,3.99
9,24,Brownie Mix,Tampons,140,14.0,5.29
9,25,Brownie Mix,Shampoo,125,12.5,8.99
9,26,Brownie Mix,Toilet Paper,80,8.0,7.99
9,27,Brownie Mix,Paper Towels,90,9.0,9.99
9,28,Brownie Mix,Napkins,110,11.0,3.29
9,29,Brownie Mix,Solo Cups,130,13.0,5.69
9,30,Brownie Mix,Trash Bags,140,14.0,8.99
9,31,Brownie Mix,Dish Soap,90,9.0,2.99
9,32,Brownie Mix,Detergent,95,9.5,12.99
9,33,Brownie Mix,Broom,110,11.0,13.99
9,34,Brownie Mix,Dog Treats,140,14.0,3.99
9,35,Brownie Mix,Air Freshner,150,15.0,6.99
9,36,Brownie Mix,Oreos,170,17.0,3.99
9,37,Brownie Mix,Popcorn,140,14.0,3.49
9,38,Brownie Mix,Gatorade (12),120,12.0,6.99
9,39,Brownie Mix,Redbull (4),115,11.5,7.99
9,40,Brownie Mix,Ritz,100,10.0,3.99
9,41,Brownie Mix,Coca Cola (12),110,11.0,5.99
9,42,Brownie Mix,LaCroix (12),120,12.0,5.49
9,43,Brownie Mix,Pepsi (12),115,11.5,5.99
9,44,Brownie Mix,Seltzer (6),180,18.0,3.99
9,45,Brownie Mix,Bottled Water (24),165,16.5,4.99
9,46,Brownie Mix,Milk Gallon,120,12.0,3.79
9,47,Brownie Mix,Butter Sticks,150,15.0,2.99
9,48,Brownie Mix,Cookie Dough,155,15.5,3.99
9,49,Brownie Mix,Chobani (4),170,17.0,4.49
9,50,Brownie Mix,Eggs (12),180,18.0,3.99
9,51,Brownie Mix,Waffles,200,20.0,3.79
9,52,Brownie Mix,Taquitos,160,16.0,6.99
9,53,Brownie Mix,Breyer's Ice Cream,150,15.0,4.99
9,54,Brownie Mix,Lasagna,170,17.0,9.99
9,55,Brownie Mix,Bagel Bites,180,18.0,2.79
9,56,Brownie Mix,"Pizza (12"")",190,19.0,8.99
10,0,Seasoning,Start Node,20,2.0,0
10,1,Seasoning,Coffee Beans,35,3.5,6.99
10,2,Seasoning,K-Cups,55,5.5,10.99
10,3,Seasoning,Capt. Crunch,85,8.5,3.99
10,4,Seasoning,Chewy Bars,110,11.0,3.69
10,5,Seasoning,Granola,120,12.0,5.49
10,6,Seasoning,Hershey's,75,7.5,2.69
10,7,Seasoning,Flour,55,5.5,4.99
10,8,Seasoning,Syrup,45,4.5,2.49
10,9,Seasoning,Brownie Mix,15,1.5,2.29
10,10,Seasoning,Seasoning,0,0.0,3.99
10,11,Seasoning,Soup,45,4.5,1.99
10,12,Seasoning,Mac & Cheese,65,6.5,2.69
10,13,Seasoning,Ketchup,95,9.5,3.49
10,14,Seasoning,Pickles,100,10.0,2.99
10,15,Seasoning,Italian Dressing,105,10.5,3.99
10,16,Seasoning,Soy Sauce,125,12.5,2.49
10,17,Seasoning,Penne,120,12.0,3.49
10,18,Seasoning,CapriSun,115,11.5,2.49
10,19,Seasoning,Tortillas,75,7.5,1.99
10,20,Seasoning,Tomato Sauce,45,4.5,2.99
10,21,Seasoning,Ibuprofen,60,6.0,5.49
10,22,Seasoning,Diapers,75,7.5,25.99
10,23,Seasoning,Tootpaste,135,13.5,3.99
10,24,Seasoning,Tampons,125,12.5,5.29
10,25,Seasoning,Shampoo,140,14.0,8.99
10,26,Seasoning,Toilet Paper,65,6.5,7.99
10,27,Seasoning,Paper Towels,75,7.5,9.99
10,28,Seasoning,Napkins,95,9.5,3.29
10,29,Seasoning,Solo Cups,115,11.5,5.69
10,30,Seasoning,Trash Bags,145,14.5,8.99
10,31,Seasoning,Dish Soap,75,7.5,2.99
10,32,Seasoning,Detergent,80,8.0,12.99
10,33,Seasoning,Broom,95,9.5,13.99
10,34,Seasoning,Dog Treats,125,12.5,3.99
10,35,Seasoning,Air Freshner,135,13.5,6.99
10,36,Seasoning,Oreos,155,15.5,3.99
10,37,Seasoning,Popcorn,125,12.5,3.49
10,38,Seasoning,Gatorade (12),105,10.5,6.99
10,39,Seasoning,Redbull (4),100,10.0,7.99
10,40,Seasoning,Ritz,85,8.5,3.99
10,41,Seasoning,Coca Cola (12),95,9.5,5.99
10,42,Seasoning,LaCroix (12),105,10.5,5.49
10,43,Seasoning,Pepsi (12),100,10.0,5.99
10,44,Seasoning,Seltzer (6),165,16.5,3.99
10,45,Seasoning,Bottled Water (24),180,18.0,4.99
10,46,Seasoning,Milk Gallon,105,10.5,3.79
10,47,Seasoning,Butter Sticks,135,13.5,2.99
10,48,Seasoning,Cookie Dough,140,14.0,3.99
10,49,Seasoning,Chobani (4),155,15.5,4.49
10,50,Seasoning,Eggs (12),185,18.5,3.99
10,51,Seasoning,Waffles,185,18.5,3.79
10,52,Seasoning,Taquitos,145,14.5,6.99
10,53,Seasoning,Breyer's Ice Cream,135,13.5,4.99
10,54,Seasoning,Lasagna,155,15.5,9.99
10,55,Seasoning,Bagel Bites,165,16.5,2.79
10,56,Seasoning,"Pizza (12"")",195,19.5,8.99
11,0,Soup,Start Node,45,4.5,0
11,1,Soup,Coffee Beans,60,6.0,6.99
11,2,Soup,K-Cups,80,8.0,10.99
11,3,Soup,Capt. Crunch,110,11.0,3.99
11,4,Soup,Chewy Bars,125,12.5,3.69
11,5,Soup,Granola,115,11.5,5.49
11,6,Soup,Hershey's,120,12.0,2.69
11,7,Soup,Flour,100,10.0,4.99
11,8,Soup,Syrup,90,9.0,2.49
11,9,Soup,Brownie Mix,60,6.0,2.29
11,10,Soup,Seasoning,45,4.5,3.99
11,11,Soup,Soup,0,0.0,1.99
11,12,Soup,Mac & Cheese,20,2.0,2.69
11,13,Soup,Ketchup,50,5.0,3.49
11,14,Soup,Pickles,55,5.5,2.99
11,15,Soup,Italian Dressing,60,6.0,3.99
11,16,Soup,Soy Sauce,110,11.0,2.49
11,17,Soup,Penne,115,11.5,3.49
11,18,Soup,CapriSun,120,12.0,2.49
11,19,Soup,Tortillas,80,8.0,1.99
11,20,Soup,Tomato Sauce,50,5.0,2.99
11,21,Soup,Ibuprofen,65,6.5,5.49
11,22,Soup,Diapers,80,8.0,25.99
11,23,Soup,Tootpaste,120,12.0,3.99
11,24,Soup,Tampons,130,13.0,5.29
11,25,Soup,Shampoo,115,11.5,8.99
11,26,Soup,Toilet Paper,70,7.0,7.99
11,27,Soup,Paper Towels,80,8.0,9.99
11,28,Soup,Napkins,100,10.0,3.29
11,29,Soup,Solo Cups,120,12.0,5.69
11,30,Soup,Trash Bags,130,13.0,8.99
11,31,Soup,Dish Soap,80,8.0,2.99
11,32,Soup,Detergent,85,8.5,12.99
11,33,Soup,Broom,100,10.0,13.99
11,34,Soup,Dog Treats,130,13.0,3.99
11,35,Soup,Air Freshner,140,14.0,6.99
11,36,Soup,Oreos,160,16.0,3.99
11,37,Soup,Popcorn,130,13.0,3.49
11,38,Soup,Gatorade (12),110,11.0,6.99
11,39,Soup,Redbull (4),105,10.5,7.99
11,40,Soup,Ritz,90,9.0,3.99
11,41,Soup,Coca Cola (12),100,10.0,5.99
11,42,Soup,LaCroix (12),110,11.0,5.49
11,43,Soup,Pepsi (12),105,10.5,5.99
11,44,Soup,Seltzer (6),170,17.0,3.99
11,45,Soup,Bottled Water (24),155,15.5,4.99
11,46,Soup,Milk Gallon,110,11.0,3.79
11,47,Soup,Butter Sticks,140,14.0,2.99
11,48,Soup,Cookie Dough,145,14.5,3.99
11,49,Soup,Chobani (4),160,16.0,4.49
11,50,Soup,Eggs (12),170,17.0,3.99
11,51,Soup,Waffles,190,19.0,3.79
11,52,Soup,Taquitos,150,15.0,6.99
11,53,Soup,Breyer's Ice Cream,140,14.0,4.99
11,54,Soup,Lasagna,160,16.0,9.99
11,55,Soup,Bagel Bites,170,17.0,2.79
11,56,Soup,"Pizza (12"")",180,18.0,8.99
12,0,Mac & Cheese,Start Node,65,6.5,0
12,1,Mac & Cheese,Coffee Beans,80,8.0,6.99
12,2,Mac & Cheese,K-Cups,100,10.0,10.99
12,3,Mac & Cheese,Capt. Crunch,130,13.0,3.99
12,4,Mac & Cheese,Chewy Bars,105,10.5,3.69
12,5,Mac & Cheese,Granola,95,9.5,5.49
12,6,Mac & Cheese,Hershey's,100,10.0,2.69
12,7,Mac & Cheese,Flour,120,12.0,4.99
12,8,Mac & Cheese,Syrup,110,11.0,2.49
12,9,Mac & Cheese,Brownie Mix,80,8.0,2.29
12,10,Mac & Cheese,Seasoning,65,6.5,3.99
12,11,Mac & Cheese,Soup,20,2.0,1.99
12,12,Mac & Cheese,Mac & Cheese,0,0.0,2.69
12,13,Mac & Cheese,Ketchup,30,3.0,3.49
12,14,Mac & Cheese,Pickles,35,3.5,2.99
12,15,Mac & Cheese,Italian Dressing,40,4.0,3.99
12,16,Mac & Cheese,Soy Sauce,90,9.0,2.49
12,17,Mac & Cheese,Penne,95,9.5,3.49
12,18,Mac & Cheese,CapriSun,100,10.0,2.49
12,19,Mac & Cheese,Tortillas,100,10.0,1.99
12,20,Mac & Cheese,Tomato Sauce,70,7.0,2.99
12,21,Mac & Cheese,Ibuprofen,85,8.5,5.49
12,22,Mac & Cheese,Diapers,100,10.0,25.99
12,23,Mac & Cheese,Tootpaste,100,10.0,3.99
12,24,Mac & Cheese,Tampons,110,11.0,5.29
12,25,Mac & Cheese,Shampoo,95,9.5,8.99
12,26,Mac & Cheese,Toilet Paper,90,9.0,7.99
12,27,Mac & Cheese,Paper Towels,100,10.0,9.99
12,28,Mac & Cheese,Napkins,120,12.0,3.29
12,29,Mac & Cheese,Solo Cups,140,14.0,5.69
12,30,Mac & Cheese,Trash Bags,110,11.0,8.99
12,31,Mac & Cheese,Dish Soap,100,10.0,2.99
12,32,Mac & Cheese,Detergent,105,10.5,12.99
12,33,Mac & Cheese,Broom,120,12.0,13.99
12,34,Mac & Cheese,Dog Treats,150,15.0,3.99
12,35,Mac & Cheese,Air Freshner,140,14.0,6.99
12,36,Mac & Cheese,Oreos,140,14.0,3.99
12,37,Mac & Cheese,Popcorn,150,15.0,3.49
12,38,Mac & Cheese,Gatorade (12),130,13.0,6.99
12,39,Mac & Cheese,Redbull (4),125,12.5,7.99
12,40,Mac & Cheese,Ritz,110,11.0,3.99
12,41,Mac & Cheese,Coca Cola (12),120,12.0,5.99
12,42,Mac & Cheese,LaCroix (12),130,13.0,5.49
12,43,Mac & Cheese,Pepsi (12),125,12.5,5.99
12,44,Mac & Cheese,Seltzer (6),150,15.0,3.99
12,45,Mac & Cheese,Bottled Water (24),135,13.5,4.99
12,46,Mac & Cheese,Milk Gallon,130,13.0,3.79
12,47,Mac & Cheese,Butter Sticks,160,16.0,2.99
12,48,Mac & Cheese,Cookie Dough,165,16.5,3.99
12,49,Mac & Cheese,Chobani (4),180,18.0,4.49
12,50,Mac & Cheese,Eggs (12),150,15.0,3.99
12,51,Mac & Cheese,Waffles,170,17.0,3.79
12,52,Mac & Cheese,Taquitos,170,17.0,6.99
12,53,Mac & Cheese,Breyer's Ice Cream,160,16.0,4.99
12,54,Mac & Cheese,Lasagna,180,18.0,9.99
12,55,Mac & Cheese,Bagel Bites,190,19.0,2.79
12,56,Mac & Cheese,"Pizza (12"")",160,16.0,8.99
13,0,Ketchup,Start Node,95,9.5,0
13,1,Ketchup,Coffee Beans,110,11.0,6.99
13,2,Ketchup,K-Cups,130,13.0,10.99
13,3,Ketchup,Capt. Crunch,100,10.0,3.99
13,4,Ketchup,Chewy Bars,75,7.5,3.69
13,5,Ketchup,Granola,65,6.5,5.49
13,6,Ketchup,Hershey's,70,7.0,2.69
13,7,Ketchup,Flour,90,9.0,4.99
13,8,Ketchup,Syrup,100,10.0,2.49
13,9,Ketchup,Brownie Mix,110,11.0,2.29
13,10,Ketchup,Seasoning,95,9.5,3.99
13,11,Ketchup,Soup,50,5.0,1.99
13,12,Ketchup,Mac & Cheese,30,3.0,2.69
13,13,Ketchup,Ketchup,0,0.0,3.49
13,14,Ketchup,Pickles,5,0.5,2.99
13,15,Ketchup,Italian Dressing,10,1.0,3.99
13,16,Ketchup,Soy Sauce,60,6.0,2.49
13,17,Ketchup,Penne,65,6.5,3.49
13,18,Ketchup,CapriSun,70,7.0,2.49
13,19,Ketchup,Tortillas,110,11.0,1.99
13,20,Ketchup,Tomato Sauce,100,10.0,2.99
13,21,Ketchup,Ibuprofen,115,11.5,5.49
13,22,Ketchup,Diapers,130,13.0,25.99
13,23,Ketchup,Tootpaste,70,7.0,3.99
13,24,Ketchup,Tampons,80,8.0,5.29
13,25,Ketchup,Shampoo,65,6.5,8.99
13,26,Ketchup,Toilet Paper,120,12.0,7.99
13,27,Ketchup,Paper Towels,130,13.0,9.99
13,28,Ketchup,Napkins,130,13.0,3.29
13,29,Ketchup,Solo Cups,110,11.0,5.69
13,30,Ketchup,Trash Bags,80,8.0,8.99
13,31,Ketchup,Dish Soap,130,13.0,2.99
13,32,Ketchup,Detergent,135,13.5,12.99
13,33,Ketchup,Broom,150,15.0,13.99
13,34,Ketchup,Dog Treats,120,12.0,3.99
13,35,Ketchup,Air Freshner,110,11.0,6.99
13,36,Ketchup,Oreos,110,11.0,3.99
13,37,Ketchup,Popcorn,140,14.0,3.49
13,38,Ketchup,Gatorade (12),160,16.0,6.99
13,39,Ketchup,Redbull (4),155,15.5,7.99
13,40,Ketchup,Ritz,140,14.0,3.99
13,41,Ketchup,Coca Cola (12),150,15.0,5.99
13,42,Ketchup,LaCroix (12),160,16.0,5.49
13,43,Ketchup,Pepsi (12),155,15.5,5.99
13,44,Ketchup,Seltzer (6),120,12.0,3.99
13,45,Ketchup,Bottled Water (24),105,10.5,4.99
13,46,Ketchup,Milk Gallon,160,16.0,3.79
13,47,Ketchup,Butter Sticks,170,17.0,2.99
13,48,Ketchup,Cookie Dough,165,16.5,3.99
13,49,Ketchup,Chobani (4),150,15.0,4.49
13,50,Ketchup,Eggs (12),120,12.0,3.99
13,51,Ketchup,Waffles,140,14.0,3.79
13,52,Ketchup,Taquitos,180,18.0,6.99
13,53,Ketchup,Breyer's Ice Cream,190,19.0,4.99
13,54,Ketchup,Lasagna,170,17.0,9.99
13,55,Ketchup,Bagel Bites,160,16.0,2.79
13,56,Ketchup,"Pizza (12"")",130,13.0,8.99
14,0,Pickles,Start Node,100,10.0,0
14,1,Pickles,Coffee Beans,115,11.5,6.99
14,2,Pickles,K-Cups,125,12.5,10.99
14,3,Pickles,Capt. Crunch,95,9.5,3.99
14,4,Pickles,Chewy Bars,70,7.0,3.69
14,5,Pickles,Granola,60,6.0,5.49
14,6,Pickles,Hershey's,65,6.5,2.69
14,7,Pickles,Flour,85,8.5,4.99
14,8,Pickles,Syrup,95,9.5,2.49
14,9,Pickles,Brownie Mix,115,11.5,2.29
14,10,Pickles,Seasoning,100,10.0,3.99
14,11,Pickles,Soup,55,5.5,1.99
14,12,Pickles,Mac & Cheese,35,3.5,2.69
14,13,Pickles,Ketchup,5,0.5,3.49
14,14,Pickles,Pickles,0,0.0,2.99
14,15,Pickles,Italian Dressing,5,0.5,3.99
14,16,Pickles,Soy Sauce,55,5.5,2.49
14,17,Pickles,Penne,60,6.0,3.49
14,18,Pickles,CapriSun,65,6.5,2.49
14,19,Pickles,Tortillas,105,10.5,1.99
14,20,Pickles,Tomato Sauce,105,10.5,2.99
14,21,Pickles,Ibuprofen,120,12.0,5.49
14,22,Pickles,Diapers,125,12.5,25.99
14,23,Pickles,Tootpaste,65,6.5,3.99
14,24,Pickles,Tampons,75,7.5,5.29
14,25,Pickles,Shampoo,60,6.0,8.99
14,26,Pickles,Toilet Paper,125,12.5,7.99
14,27,Pickles,Paper Towels,135,13.5,9.99
14,28,Pickles,Napkins,125,12.5,3.29
14,29,Pickles,Solo Cups,105,10.5,5.69
14,30,Pickles,Trash Bags,75,7.5,8.99
14,31,Pickles,Dish Soap,135,13.5,2.99
14,32,Pickles,Detergent,140,14.0,12.99
14,33,Pickles,Broom,145,14.5,13.99
14,34,Pickles,Dog Treats,115,11.5,3.99
14,35,Pickles,Air Freshner,105,10.5,6.99
14,36,Pickles,Oreos,105,10.5,3.99
14,37,Pickles,Popcorn,135,13.5,3.49
14,38,Pickles,Gatorade (12),155,15.5,6.99
14,39,Pickles,Redbull (4),160,16.0,7.99
14,40,Pickles,Ritz,145,14.5,3.99
14,41,Pickles,Coca Cola (12),155,15.5,5.99
14,42,Pickles,LaCroix (12),165,16.5,5.49
14,43,Pickles,Pepsi (12),160,16.0,5.99
14,44,Pickles,Seltzer (6),115,11.5,3.99
14,45,Pickles,Bottled Water (24),100,10.0,4.99
14,46,Pickles,Milk Gallon,165,16.5,3.79
14,47,Pickles,Butter Sticks,165,16.5,2.99
14,48,Pickles,Cookie Dough,160,16.0,3.99
14,49,Pickles,Chobani (4),145,14.5,4.49
14,50,Pickles,Eggs (12),115,11.5,3.99
14,51,Pickles,Waffles,135,13.5,3.79
14,52,Pickles,Taquitos,175,17.5,6.99
14,53,Pickles,Breyer's Ice Cream,185,18.5,4.99
14,54,Pickles,Lasagna,165,16.5,9.99
14,55,Pickles,Bagel Bites,155,15.5,2.79
14,56,Pickles,"Pizza (12"")",125,12.5,8.99
15,0,Italian Dressing,Start Node,105,10.5,0
15,1,Italian Dressing,Coffee Beans,120,12.0,6.99
15,2,Italian Dressing,K-Cups,120,12.0,10.99
15,3,Italian Dressing,Capt. Crunch,90,9.0,3.99
15,4,Italian Dressing,Chewy Bars,65,6.5,3.69
15,5,Italian Dressing,Granola,55,5.5,5.49
15,6,Italian Dressing,Hershey's,60,6.0,2.69
15,7,Italian Dressing,Flour,80,8.0,4.99
15,8,Italian Dressing,Syrup,90,9.0,2.49
15,9,Italian Dressing,Brownie Mix,120,12.0,2.29
15,10,Italian Dressing,Seasoning,105,10.5,3.99
15,11,Italian Dressing,Soup,60,6.0,1.99
15,12,Italian Dressing,Mac & Cheese,40,4.0,2.69
15,13,Italian Dressing,Ketchup,10,1.0,3.49
15,14,Italian Dressing,Pickles,5,0.5,2.99
15,15,Italian Dressing,Italian Dressing,0,0.0,3.99
15,16,Italian Dressing,Soy Sauce,50,5.0,2.49
15,17,Italian Dressing,Penne,55,5.5,3.49
15,18,Italian Dressing,CapriSun,60,6.0,2.49
15,19,Italian Dressing,Tortillas,100,10.0,1.99
15,20,Italian Dressing,Tomato Sauce,110,11.0,2.99
15,21,Italian Dressing,Ibuprofen,125,12.5,5.49
15,22,Italian Dressing,Diapers,120,12.0,25.99
15,23,Italian Dressing,Tootpaste,60,6.0,3.99
15,24,Italian Dressing,Tampons,70,7.0,5.29
15,25,Italian Dressing,Shampoo,55,5.5,8.99
15,26,Italian Dressing,Toilet Paper,130,13.0,7.99
15,27,Italian Dressing,Paper Towels,140,14.0,9.99
15,28,Italian Dressing,Napkins,120,12.0,3.29
15,29,Italian Dressing,Solo Cups,100,10.0,5.69
15,30,Italian Dressing,Trash Bags,70,7.0,8.99
15,31,Italian Dressing,Dish Soap,140,14.0,2.99
15,32,Italian Dressing,Detergent,145,14.5,12.99
15,33,Italian Dressing,Broom,140,14.0,13.99
15,34,Italian Dressing,Dog Treats,110,11.0,3.99
15,35,Italian Dressing,Air Freshner,100,10.0,6.99
15,36,Italian Dressing,Oreos,100,10.0,3.99
15,37,Italian Dressing,Popcorn,130,13.0,3.49
15,38,Italian Dressing,Gatorade (12),150,15.0,6.99
15,39,Italian Dressing,Redbull (4),155,15.5,7.99
15,40,Italian Dressing,Ritz,150,15.0,3.99
15,41,Italian Dressing,Coca Cola (12),160,16.0,5.99
15,42,Italian Dressing,LaCroix (12),170,17.0,5.49
15,43,Italian Dressing,Pepsi (12),165,16.5,5.99
15,44,Italian Dressing,Seltzer (6),110,11.0,3.99
15,45,Italian Dressing,Bottled Water (24),95,9.5,4.99
15,46,Italian Dressing,Milk Gallon,170,17.0,3.79
15,47,Italian Dressing,Butter Sticks,160,16.0,2.99
15,48,Italian Dressing,Cookie Dough,155,15.5,3.99
15,49,Italian Dressing,Chobani (4),140,14.0,4.49
15,50,Italian Dressing,Eggs (12),110,11.0,3.99
15,51,Italian Dressing,Waffles,130,13.0,3.79
15,52,Italian Dressing,Taquitos,170,17.0,6.99
15,53,Italian Dressing,Breyer's Ice Cream,180,18.0,4.99
15,54,Italian Dressing,Lasagna,160,16.0,9.99
15,55,Italian Dressing,Bagel Bites,150,15.0,2.79
15,56,Italian Dressing,"Pizza (12"")",120,12.0,8.99
16,0,Soy Sauce,Start Node,125,12.5,0
16,1,Soy Sauce,Coffee Beans,140,14.0,6.99
16,2,Soy Sauce,K-Cups,120,12.0,10.99
16,3,Soy Sauce,Capt. Crunch,90,9.0,3.99
16,4,Soy Sauce,Chewy Bars,65,6.5,3.69
16,5,Soy Sauce,Granola,55,5.5,5.49
16,6,Soy Sauce,Hershey's,60,6.0,2.69
16,7,Soy Sauce,Flour,80,8.0,4.99
16,8,Soy Sauce,Syrup,90,9.0,2.49
16,9,Soy Sauce,Brownie Mix,120,12.0,2.29
16,10,Soy Sauce,Seasoning,125,12.5,3.99
16,11,Soy Sauce,Soup,110,11.0,1.99
16,12,Soy Sauce,Mac & Cheese,90,9.0,2.69
16,13,Soy Sauce,Ketchup,60,6.0,3.49
16,14,Soy Sauce,Pickles,55,5.5,2.99
16,15,Soy Sauce,Italian Dressing,50,5.0,3.99
16,16,Soy Sauce,Soy Sauce,0,0.0,2.49
16,17,Soy Sauce,Penne,5,0.5,3.49
16,18,Soy Sauce,CapriSun,10,1.0,2.49
16,19,Soy Sauce,Tortillas,50,5.0,1.99
16,20,Soy Sauce,Tomato Sauce,80,8.0,2.99
16,21,Soy Sauce,Ibuprofen,115,11.5,5.49
16,22,Soy Sauce,Diapers,100,10.0,25.99
16,23,Soy Sauce,Tootpaste,40,4.0,3.99
16,24,Soy Sauce,Tampons,50,5.0,5.29
16,25,Soy Sauce,Shampoo,35,3.5,8.99
16,26,Soy Sauce,Toilet Paper,130,13.0,7.99
16,27,Soy Sauce,Paper Towels,120,12.0,9.99
16,28,Soy Sauce,Napkins,100,10.0,3.29
16,29,Soy Sauce,Solo Cups,80,8.0,5.69
16,30,Soy Sauce,Trash Bags,50,5.0,8.99
16,31,Soy Sauce,Dish Soap,140,14.0,2.99
16,32,Soy Sauce,Detergent,135,13.5,12.99
16,33,Soy Sauce,Broom,120,12.0,13.99
16,34,Soy Sauce,Dog Treats,90,9.0,3.99
16,35,Soy Sauce,Air Freshner,80,8.0,6.99
16,36,Soy Sauce,Oreos,80,8.0,3.99
16,37,Soy Sauce,Popcorn,110,11.0,3.49
16,38,Soy Sauce,Gatorade (12),130,13.0,6.99
16,39,Soy Sauce,Redbull (4),135,13.5,7.99
16,40,Soy Sauce,Ritz,150,15.0,3.99
16,41,Soy Sauce,Coca Cola (12),160,16.0,5.99
16,42,Soy Sauce,LaCroix (12),150,15.0,5.49
16,43,Soy Sauce,Pepsi (12),155,15.5,5.99
16,44,Soy Sauce,Seltzer (6),90,9.0,3.99
16,45,Soy Sauce,Bottled Water (24),75,7.5,4.99
16,46,Soy Sauce,Milk Gallon,170,17.0,3.79
16,47,Soy Sauce,Butter Sticks,140,14.0,2.99
16,48,Soy Sauce,Cookie Dough,135,13.5,3.99
16,49,Soy Sauce,Chobani (4),120,12.0,4.49
16,50,Soy Sauce,Eggs (12),90,9.0,3.99
16,51,Soy Sauce,Waffles,110,11.0,3.79
16,52,Soy Sauce,Taquitos,150,15.0,6.99
16,53,Soy Sauce,Breyer's Ice Cream,160,16.0,4.99
16,54,Soy Sauce,Lasagna,140,14.0,9.99
16,55,Soy Sauce,Bagel Bites,130,13.0,2.79
16,56,Soy Sauce,"Pizza (12"")",100,10.0,8.99
17,0,Penne,Start Node,120,12.0,0
17,1,Penne,Coffee Beans,135,13.5,6.99
17,2,Penne,K-Cups,125,12.5,10.99
17,3,Penne,Capt. Crunch,95,9.5,3.99
17,4,Penne,Chewy Bars,70,7.0,3.69
17,5,Penne,Granola,60,6.0,5.49
17,6,Penne,Hershey's,65,6.5,2.69
17,7,Penne,Flour,85,8.5,4.99
17,8,Penne,Syrup,95,9.5,2.49
17,9,Penne,Brownie Mix,125,12.5,2.29
17,10,Penne,Seasoning,120,12.0,3.99
17,11,Penne,Soup,115,11.5,1.99
17,12,Penne,Mac & Cheese,95,9.5,2.69
17,13,Penne,Ketchup,65,6.5,3.49
17,14,Penne,Pickles,60,6.0,2.99
17,15,Penne,Italian Dressing,55,5.5,3.99
17,16,Penne,Soy Sauce,5,0.5,2.49
17,17,Penne,Penne,0,0.0,3.49
17,18,Penne,CapriSun,5,0.5,2.49
17,19,Penne,Tortillas,45,4.5,1.99
17,20,Penne,Tomato Sauce,75,7.5,2.99
17,21,Penne,Ibuprofen,120,12.0,5.49
17,22,Penne,Diapers,105,10.5,25.99
17,23,Penne,Tootpaste,45,4.5,3.99
17,24,Penne,Tampons,55,5.5,5.29
17,25,Penne,Shampoo,40,4.0,8.99
17,26,Penne,Toilet Paper,125,12.5,7.99
17,27,Penne,Paper Towels,125,12.5,9.99
17,28,Penne,Napkins,105,10.5,3.29
17,29,Penne,Solo Cups,85,8.5,5.69
17,30,Penne,Trash Bags,55,5.5,8.99
17,31,Penne,Dish Soap,135,13.5,2.99
17,32,Penne,Detergent,140,14.0,12.99
17,33,Penne,Broom,125,12.5,13.99
17,34,Penne,Dog Treats,95,9.5,3.99
17,35,Penne,Air Freshner,85,8.5,6.99
17,36,Penne,Oreos,85,8.5,3.99
17,37,Penne,Popcorn,115,11.5,3.49
17,38,Penne,Gatorade (12),135,13.5,6.99
17,39,Penne,Redbull (4),140,14.0,7.99
17,40,Penne,Ritz,145,14.5,3.99
17,41,Penne,Coca Cola (12),155,15.5,5.99
17,42,Penne,LaCroix (12),155,15.5,5.49
17,43,Penne,Pepsi (12),160,16.0,5.99
17,44,Penne,Seltzer (6),95,9.5,3.99
17,45,Penne,Bottled Water (24),80,8.0,4.99
17,46,Penne,Milk Gallon,165,16.5,3.79
17,47,Penne,Butter Sticks,145,14.5,2.99
17,48,Penne,Cookie Dough,140,14.0,3.99
17,49,Penne,Chobani (4),125,12.5,4.49
17,50,Penne,Eggs (12),95,9.5,3.99
17,51,Penne,Waffles,115,11.5,3.79
17,52,Penne,Taquitos,155,15.5,6.99
17,53,Penne,Breyer's Ice Cream,165,16.5,4.99
17,54,Penne,Lasagna,145,14.5,9.99
17,55,Penne,Bagel Bites,135,13.5,2.79
17,56,Penne,"Pizza (12"")",105,10.5,8.99
18,0,CapriSun,Start Node,115,11.5,0
18,1,CapriSun,Coffee Beans,130,13.0,6.99
18,2,CapriSun,K-Cups,130,13.0,10.99
18,3,CapriSun,Capt. Crunch,100,10.0,3.99
18,4,CapriSun,Chewy Bars,75,7.5,3.69
18,5,CapriSun,Granola,65,6.5,5.49
